"","Trial","Dist_fis","Respuesta","Sujeto","Bloque"
"482",20,5,3,"S006","INDVIRTUAL"
"483",21,1,0.5,"S006","INDVIRTUAL"
"484",22,3,2.5,"S006","INDVIRTUAL"
"485",23,6,5,"S006","INDVIRTUAL"
"486",24,4,4,"S006","INDVIRTUAL"
"487",1,6,5,"S006","REAL"
"488",2,3,4,"S006","REAL"
"489",3,5,4.5,"S006","REAL"
"490",4,1,1,"S006","REAL"
"491",5,2,2,"S006","REAL"
"492",6,4,5,"S006","REAL"
"493",7,5,4.5,"S006","REAL"
"494",8,1,1,"S006","REAL"
"495",9,2,2,"S006","REAL"
"496",10,3,4,"S006","REAL"
"497",11,4,3.5,"S006","REAL"
"498",12,6,5,"S006","REAL"
"499",13,4,4,"S006","REAL"
"500",14,5,3,"S006","REAL"
"501",15,2,1.5,"S006","REAL"
"502",16,3,3,"S006","REAL"
"503",17,6,4,"S006","REAL"
"504",18,1,1,"S006","REAL"
"505",19,4,2.5,"S006","REAL"
"506",20,3,3,"S006","REAL"
"507",21,1,1,"S006","REAL"
"508",22,5,4,"S006","REAL"
"509",23,6,5,"S006","REAL"
"510",24,2,2,"S006","REAL"
"511",1,1,0,"S006","SIMULADO"
"512",2,5,4,"S006","SIMULADO"
"513",3,3,3.5,"S006","SIMULADO"
"514",4,6,6,"S006","SIMULADO"
"515",5,4,2,"S006","SIMULADO"
"516",6,2,0,"S006","SIMULADO"
"517",7,6,5,"S006","SIMULADO"
"518",8,4,3,"S006","SIMULADO"
"519",9,2,2,"S006","SIMULADO"
"520",10,1,0,"S006","SIMULADO"
"521",11,5,5,"S006","SIMULADO"
"522",12,3,5,"S006","SIMULADO"
"523",13,4,2,"S006","SIMULADO"
"524",14,1,1,"S006","SIMULADO"
"525",15,5,5,"S006","SIMULADO"
"526",16,6,6,"S006","SIMULADO"
"527",17,3,3,"S006","SIMULADO"
"528",18,2,1,"S006","SIMULADO"
"529",19,5,4,"S006","SIMULADO"
"530",20,2,2,"S006","SIMULADO"
"531",21,6,5,"S006","SIMULADO"
"532",22,3,4,"S006","SIMULADO"
"533",23,1,0,"S006","SIMULADO"
"534",24,4,2,"S006","SIMULADO"
"535",1,3,4,"S006","VIRTUAL"
"536",2,4,5,"S006","VIRTUAL"
"537",3,1,1,"S006","VIRTUAL"
"538",4,6,5,"S006","VIRTUAL"
"539",5,2,3,"S006","VIRTUAL"
"540",6,5,5,"S006","VIRTUAL"
"541",7,6,4,"S006","VIRTUAL"
"542",8,3,3,"S006","VIRTUAL"
"543",9,1,1,"S006","VIRTUAL"
"544",10,4,4,"S006","VIRTUAL"
"545",11,5,5,"S006","VIRTUAL"
"546",12,2,1,"S006","VIRTUAL"
"547",13,4,4,"S006","VIRTUAL"
"548",14,3,3,"S006","VIRTUAL"
"549",15,5,4,"S006","VIRTUAL"
"550",16,1,0.5,"S006","VIRTUAL"
"551",17,2,1,"S006","VIRTUAL"
"552",18,6,3.5,"S006","VIRTUAL"
"553",19,2,2,"S006","VIRTUAL"
"554",20,5,4,"S006","VIRTUAL"
"555",21,4,4,"S006","VIRTUAL"
"556",22,6,5,"S006","VIRTUAL"
"557",23,1,0.5,"S006","VIRTUAL"
"558",24,3,2,"S006","VIRTUAL"
"559",1,5,3,"S007","INDVIRTUAL"
"560",2,3,3,"S007","INDVIRTUAL"
"561",3,4,4,"S007","INDVIRTUAL"
"562",4,6,4.5,"S007","INDVIRTUAL"
"563",5,2,1.5,"S007","INDVIRTUAL"
"564",6,1,0.8,"S007","INDVIRTUAL"
"565",7,1,0.5,"S007","INDVIRTUAL"
"566",8,3,4,"S007","INDVIRTUAL"
"567",9,4,5,"S007","INDVIRTUAL"
"568",10,2,2.5,"S007","INDVIRTUAL"
"569",11,6,5,"S007","INDVIRTUAL"
"570",12,5,4.5,"S007","INDVIRTUAL"
"571",13,3,3,"S007","INDVIRTUAL"
"572",14,1,0.5,"S007","INDVIRTUAL"
"573",15,5,3,"S007","INDVIRTUAL"
"574",16,4,3.5,"S007","INDVIRTUAL"
"575",17,6,4,"S007","INDVIRTUAL"
"576",18,2,1.8,"S007","INDVIRTUAL"
"577",19,2,2.5,"S007","INDVIRTUAL"
"578",20,4,4,"S007","INDVIRTUAL"
"579",21,3,3,"S007","INDVIRTUAL"
"580",22,5,3.5,"S007","INDVIRTUAL"
"581",23,6,3.5,"S007","INDVIRTUAL"
"582",24,1,0.8,"S007","INDVIRTUAL"
"583",1,4,4,"S007","REAL"
"584",2,1,2,"S007","REAL"
"585",3,5,4.5,"S007","REAL"
"586",4,3,3.5,"S007","REAL"
"587",5,6,3.8,"S007","REAL"
"588",6,2,3,"S007","REAL"
"589",7,2,2.8,"S007","REAL"
"590",8,1,1.2,"S007","REAL"
"591",9,5,4,"S007","REAL"
"592",10,4,4,"S007","REAL"
"593",11,3,3.5,"S007","REAL"
"594",12,6,4.5,"S007","REAL"
"595",13,6,4,"S007","REAL"
"596",14,1,1,"S007","REAL"
"597",15,4,3,"S007","REAL"
"598",16,5,3.5,"S007","REAL"
"599",17,3,3.5,"S007","REAL"
"600",18,2,2,"S007","REAL"
"601",19,1,1.5,"S007","REAL"
"602",20,5,4,"S007","REAL"
"603",21,2,3,"S007","REAL"
"604",22,6,4,"S007","REAL"
"605",23,3,3.5,"S007","REAL"
"606",24,4,3.5,"S007","REAL"
"607",1,6,1.5,"S007","SIMULADO"
"608",2,5,1.5,"S007","SIMULADO"
"609",3,2,0.8,"S007","SIMULADO"
"610",4,4,1,"S007","SIMULADO"
"611",5,3,1.8,"S007","SIMULADO"
"612",6,1,1,"S007","SIMULADO"
"613",7,5,2,"S007","SIMULADO"
"614",8,3,2.3,"S007","SIMULADO"
"615",9,1,0.8,"S007","SIMULADO"
"616",10,4,0.8,"S007","SIMULADO"
"617",11,6,2,"S007","SIMULADO"
"618",12,2,1.5,"S007","SIMULADO"
"619",13,1,0.5,"S007","SIMULADO"
"620",14,2,0.5,"S007","SIMULADO"
"621",15,6,2,"S007","SIMULADO"
"622",16,3,2,"S007","SIMULADO"
"623",17,4,0.8,"S007","SIMULADO"
"624",18,5,2.5,"S007","SIMULADO"
"625",19,1,0.5,"S007","SIMULADO"
"626",20,2,1,"S007","SIMULADO"
"627",21,5,2.5,"S007","SIMULADO"
"628",22,3,2,"S007","SIMULADO"
