"trial" "distancia" "respuesta" "nsub" "condicion" "SesgoAbs" "SesgoRel"
14 4 4 14 "INTERNET" 0 0
15 1 1 14 "INTERNET" 0 0
16 5 5 14 "INTERNET" 0 0
17 6 5 14 "INTERNET" -1 -0.166666666666667
18 2 4 14 "INTERNET" 2 1
19 5 4 14 "INTERNET" -1 -0.2
20 1 1 14 "INTERNET" 0 0
21 4 5 14 "INTERNET" 1 0.25
22 3 6 14 "INTERNET" 3 1
23 6 6 14 "INTERNET" 0 0
24 2 4 14 "INTERNET" 2 1
25 6 5 14 "INTERNET" -1 -0.166666666666667
26 5 5 14 "INTERNET" 0 0
27 4 5 14 "INTERNET" 1 0.25
28 3 5 14 "INTERNET" 2 0.666666666666667
29 1 1 14 "INTERNET" 0 0
30 2 3 14 "INTERNET" 1 0.5
1 4 7 15 "INTERNET" 3 0.75
2 2 7 15 "INTERNET" 5 2.5
3 6 6 15 "INTERNET" 0 0
4 5 6 15 "INTERNET" 1 0.2
5 1 4 15 "INTERNET" 3 3
6 3 5 15 "INTERNET" 2 0.666666666666667
7 3 6 15 "INTERNET" 3 1
8 1 4 15 "INTERNET" 3 3
9 6 7 15 "INTERNET" 1 0.166666666666667
10 4 6 15 "INTERNET" 2 0.5
11 5 7 15 "INTERNET" 2 0.4
12 2 5 15 "INTERNET" 3 1.5
13 2 4.5 15 "INTERNET" 2.5 1.25
14 1 3 15 "INTERNET" 2 2
15 5 6 15 "INTERNET" 1 0.2
16 3 77 15 "INTERNET" 74 24.6666666666667
17 4 6 15 "INTERNET" 2 0.5
18 6 7 15 "INTERNET" 1 0.166666666666667
19 3 6 15 "INTERNET" 3 1
20 1 3 15 "INTERNET" 2 2
21 5 5 15 "INTERNET" 0 0
22 6 7 15 "INTERNET" 1 0.166666666666667
23 4 6 15 "INTERNET" 2 0.5
24 2 5 15 "INTERNET" 3 1.5
25 3 6 15 "INTERNET" 3 1
26 4 6 15 "INTERNET" 2 0.5
27 6 7 15 "INTERNET" 1 0.166666666666667
28 5 6 15 "INTERNET" 1 0.2
29 1 3 15 "INTERNET" 2 2
30 2 5 15 "INTERNET" 3 1.5
1 5 6 16 "INTERNET" 1 0.2
2 6 6 16 "INTERNET" 0 0
3 2 4 16 "INTERNET" 2 1
4 3 5 16 "INTERNET" 2 0.666666666666667
5 1 4 16 "INTERNET" 3 3
6 4 7 16 "INTERNET" 3 0.75
7 3 8 16 "INTERNET" 5 1.66666666666667
8 5 6 16 "INTERNET" 1 0.2
9 6 8 16 "INTERNET" 2 0.333333333333333
10 1 3 16 "INTERNET" 2 2
11 4 6 16 "INTERNET" 2 0.5
12 2 4 16 "INTERNET" 2 1
13 2 3 16 "INTERNET" 1 0.5
14 1 2 16 "INTERNET" 1 1
15 3 7 16 "INTERNET" 4 1.33333333333333
16 4 7 16 "INTERNET" 3 0.75
17 5 8 16 "INTERNET" 3 0.6
18 6 9 16 "INTERNET" 3 0.5
19 5 9 16 "INTERNET" 4 0.8
20 2 5 16 "INTERNET" 3 1.5
21 6 6 16 "INTERNET" 0 0
22 4 5 16 "INTERNET" 1 0.25
23 1 2 16 "INTERNET" 1 1
24 3 5 16 "INTERNET" 2 0.666666666666667
25 4 6 16 "INTERNET" 2 0.5
26 1 2 16 "INTERNET" 1 1
27 5 7 16 "INTERNET" 2 0.4
28 6 8 16 "INTERNET" 2 0.333333333333333
29 2 5 16 "INTERNET" 3 1.5
30 3 6 16 "INTERNET" 3 1
1 4 4 18 "INTERNET" 0 0
2 2 3 18 "INTERNET" 1 0.5
3 3 3 18 "INTERNET" 0 0
4 5 4 18 "INTERNET" -1 -0.2
5 1 2 18 "INTERNET" 1 1
6 6 5 18 "INTERNET" -1 -0.166666666666667
7 3 4 18 "INTERNET" 1 0.333333333333333
8 5 5 18 "INTERNET" 0 0
9 6 6 18 "INTERNET" 0 0
10 1 1 18 "INTERNET" 0 0
11 2 3 18 "INTERNET" 1 0.5
12 4 4 18 "INTERNET" 0 0
13 2 3 18 "INTERNET" 1 0.5
14 5 4 18 "INTERNET" -1 -0.2
15 1 1 18 "INTERNET" 0 0
16 3 4 18 "INTERNET" 1 0.333333333333333
17 4 5 18 "INTERNET" 1 0.25
18 6 6 18 "INTERNET" 0 0
19 1 3 18 "INTERNET" 2 2
20 3 5 18 "INTERNET" 2 0.666666666666667
21 5 6 18 "INTERNET" 1 0.2
22 2 3 18 "INTERNET" 1 0.5
23 4 5 18 "INTERNET" 1 0.25
24 6 6 18 "INTERNET" 0 0
25 2 4 18 "INTERNET" 2 1
26 6 5 18 "INTERNET" -1 -0.166666666666667
27 5 5 18 "INTERNET" 0 0
28 3 4 18 "INTERNET" 1 0.333333333333333
29 1 2 18 "INTERNET" 1 1
30 4 4 18 "INTERNET" 0 0
1 6 10 19 "INTERNET" 4 0.666666666666667
2 4 8 19 "INTERNET" 4 1
3 5 7 19 "INTERNET" 2 0.4
4 3 7 19 "INTERNET" 4 1.33333333333333
5 2 6 19 "INTERNET" 4 2
6 1 5 19 "INTERNET" 4 4
7 5 10 19 "INTERNET" 5 1
8 3 9 19 "INTERNET" 6 2
9 4 10 19 "INTERNET" 6 1.5
10 2 8 19 "INTERNET" 6 3
11 1 6 19 "INTERNET" 5 5
12 6 12 19 "INTERNET" 6 1
13 5 11 19 "INTERNET" 6 1.2
14 3 10 19 "INTERNET" 7 2.33333333333333
15 2 9 19 "INTERNET" 7 3.5
16 4 10 19 "INTERNET" 6 1.5
17 6 11 19 "INTERNET" 5 0.833333333333333
18 1 6 19 "INTERNET" 5 5
19 3 10 19 "INTERNET" 7 2.33333333333333
20 5 11 19 "INTERNET" 6 1.2
21 2 8 19 "INTERNET" 6 3
22 1 6 19 "INTERNET" 5 5
23 6 12 19 "INTERNET" 6 1
24 4 10 19 "INTERNET" 6 1.5
25 1 7 19 "INTERNET" 6 6
26 3 9 19 "INTERNET" 6 2
27 2 8 19 "INTERNET" 6 3
28 5 11 19 "INTERNET" 6 1.2
29 6 12 19 "INTERNET" 6 1
30 4 11 19 "INTERNET" 7 1.75
1 5 2 20 "INTERNET" -3 -0.6
2 6 3 20 "INTERNET" -3 -0.5
3 4 3.5 20 "INTERNET" -0.5 -0.125
4 1 1.5 20 "INTERNET" 0.5 0.5
5 3 2.5 20 "INTERNET" -0.5 -0.166666666666667
6 2 2 20 "INTERNET" 0 0
7 2 2.5 20 "INTERNET" 0.5 0.25
8 6 3.5 20 "INTERNET" -2.5 -0.416666666666667
9 1 1.5 20 "INTERNET" 0.5 0.5
10 5 3 20 "INTERNET" -2 -0.4
11 4 3.5 20 "INTERNET" -0.5 -0.125
12 3 3 20 "INTERNET" 0 0
13 3 3 20 "INTERNET" 0 0
14 5 3.5 20 "INTERNET" -1.5 -0.3
15 2 2.5 20 "INTERNET" 0.5 0.25
16 6 3.5 20 "INTERNET" -2.5 -0.416666666666667
17 1 1.5 20 "INTERNET" 0.5 0.5
18 4 3 20 "INTERNET" -1 -0.25
19 3 3.5 20 "INTERNET" 0.5 0.166666666666667
20 5 3.5 20 "INTERNET" -1.5 -0.3
21 4 3.5 20 "INTERNET" -0.5 -0.125
22 1 1.5 20 "INTERNET" 0.5 0.5
23 6 4 20 "INTERNET" -2 -0.333333333333333
24 2 2 20 "INTERNET" 0 0
25 1 1.5 20 "INTERNET" 0.5 0.5
26 4 3.5 20 "INTERNET" -0.5 -0.125
27 5 3.5 20 "INTERNET" -1.5 -0.3
28 2 3 20 "INTERNET" 1 0.5
29 6 4 20 "INTERNET" -2 -0.333333333333333
30 3 3 20 "INTERNET" 0 0
1 1 0.5 21 "INTERNET" -0.5 -0.5
2 2 1 21 "INTERNET" -1 -0.5
3 6 2 21 "INTERNET" -4 -0.666666666666667
4 3 1.5 21 "INTERNET" -1.5 -0.5
5 5 2 21 "INTERNET" -3 -0.6
6 4 2 21 "INTERNET" -2 -0.5
7 5 2 21 "INTERNET" -3 -0.6
8 6 2.5 21 "INTERNET" -3.5 -0.583333333333333
9 3 1.5 21 "INTERNET" -1.5 -0.5
10 2 1 21 "INTERNET" -1 -0.5
11 1 1 21 "INTERNET" 0 0
12 4 1.5 21 "INTERNET" -2.5 -0.625
13 1 0.5 21 "INTERNET" -0.5 -0.5
14 6 2 21 "INTERNET" -4 -0.666666666666667
15 4 2 21 "INTERNET" -2 -0.5
16 2 2 21 "INTERNET" 0 0
17 3 1.5 21 "INTERNET" -1.5 -0.5
